gene,tractability_score,novelty_score,ot_sm_approved_drug,ot_sm_druggable_family,ot_sm_hq_pocket,ot_sm_struct_ligand,ot_drug_count,dgidb_n_drugs,dgidb_n_approved_drugs,chembl_target_id,chembl_n_potent,chembl_action_types,has_inhibitor_moa,uniprot_acc,uniprot_kinase,uniprot_enzyme,uniprot_membrane,uniprot_loc
COPA,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
CDC42,0.8,0.0,False,True,True,True,0,6,1,CHEMBL6088,8,,False,P60953,False,True,True,"Cell membrane;Cytoplasm, cytoskeleton, microtubule organizing center, centrosome;Cytoplasm, cytoskeleton, spindle"
NARS1,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
PSTK,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
NOP2,0.25,0.0,False,False,False,True,0,17,6,CHEMBL6066899,2,,False,P46087,False,True,False,"Nucleus, nucleolus;Nucleus"
FOXO3,0.25,0.0,False,False,False,True,0,2,1,CHEMBL5778,0,,False,O43524,False,False,True,"Cytoplasm, cytosol;Nucleus;Mitochondrion matrix"
NOL12,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
MLST8,0.6,0.0,False,False,False,True,1,4,1,CHEMBL6067530,0,,False,Q9BVC4,False,False,True,Lysosome membrane;Cytoplasm
RRP1,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
NUP35,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
H3C8,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
NUBP2,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
IMP3,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
ARFRP1,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
ARHGAP11A,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
CIR1,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
MIS18BP1,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
TUBB,0.8,0.0,True,True,False,True,88,120,28,CHEMBL5444,3,,False,P07437,False,False,False,"Cytoplasm, cytoskeleton"
SCFD1,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
NOC4L,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
AASDHPPT,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
CCNK,0.6,0.0,False,False,False,True,0,3,3,CHEMBL2346490,0,,False,O75909,False,False,False,Nucleus
MT1E,0.0,0.0,False,False,False,False,0,1,1,,0,,False,P04732,False,False,False,
BRCA1,0.4,0.0,False,True,False,False,0,92,23,CHEMBL5990,14,,False,P38398,False,True,False,Nucleus;Chromosome;Cytoplasm
CHMP2A,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
TOP1,1.0,0.0,True,True,True,True,26,118,13,CHEMBL1781,224,INHIBITOR;STABILISER,True,P11387,False,True,False,"Nucleus, nucleolus;Nucleus, nucleoplasm"
RPL36,0.6,0.0,True,False,False,True,5,9,1,CHEMBL6067527,1,,False,C0HME6,False,False,False,Endoplasmic reticulum
EEFSEC,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
PNO1,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
JTB,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
SNAPC5,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
EIF3M,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
C19orf25,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
NELFCD,0.25,0.0,False,False,False,True,0,2,1,,0,,False,Q8IXH7,False,False,False,Nucleus
SRSF10,0.0,1.0,False,False,False,False,0,1,0,,0,,False,,False,False,False,
POTEI,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
AMY2A,1.0,0.0,False,True,False,True,1,2,1,CHEMBL2045,19,INHIBITOR,True,P04746,False,True,False,"Secreted, extracellular space"
RPL26L1,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
TM2D2,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
PDCD2,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
VBP1,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
CDK5RAP3,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
SOD1,0.6,0.0,False,False,True,True,1,4,4,CHEMBL2354,8,,False,P00441,False,True,False,Cytoplasm;Nucleus
WDR55,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
TRAPPC11,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
RPS29,0.6,0.0,True,False,False,True,5,9,1,CHEMBL6066849,3,,False,P62273,False,False,False,"Cytoplasm, cytosol;Cytoplasm;Rough endoplasmic reticulum"
BARD1,0.0,0.0,False,False,False,False,0,1,1,,0,,False,Q99728,False,True,False,Nucleus
DNAJA3,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
HYOU1,0.0,0.0,False,False,False,False,0,1,1,CHEMBL2216741,1,,False,Q9Y4L1,False,False,False,Endoplasmic reticulum lumen
CHMP3,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
RRP15,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
DCTN5,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
