gene,glioma_mean,rest_mean,diff,cohens_d,t,p,fdr,is_common_essential,pan_ess_fraction,glioma_dep_fraction,neglog_fdr,dependency_score,archetype
SRSF2,-2.432834048134065,-2.216618344503619,-0.21621570363044595,-0.550228199560888,-4.692944470600782,1.074368722387076e-05,0.0005331963997309378,True,1.0,1.0,3.2731127917080394,1.3386138981352331,pan-glioma-dep
DPH3,-1.0269572999585623,-0.8932965483728665,-0.1336607515856958,-0.5497669372795417,-4.4506670488689135,2.734127813258257e-05,0.0010489214968380071,True,0.9490662139219015,0.9722222222222222,2.9792570139664445,0.5645871695150865,pan-glioma-dep
PPAN,-1.2292116749421227,-1.0906293009765373,-0.13858237396558537,-0.5479895971116631,-4.222603735768596,6.396265518015897e-05,0.002031834982637816,True,0.9906621392190152,1.0,2.692111566584945,0.6735952105164863,pan-glioma-dep
UBE2C,-0.8605711210256115,-0.6981912787618271,-0.16237984226378444,-0.546736370886501,-3.719881091041218,0.00037638157330617875,0.007120646533636218,True,0.766553480475382,0.875,2.1474805719189134,0.4705055315992706,pan-glioma-dep
ACTL6A,-1.7446082629060622,-1.5751519683630715,-0.16945629454299072,-0.5461463262229632,-4.5287835526271065,2.0259049342548805e-05,0.0008460632354804298,True,0.9966044142614601,1.0,3.0725971762116995,0.9528113934843714,pan-glioma-dep
RSAD1,-0.46541862779858856,-0.3715073599094596,-0.09391126788912896,-0.5448478603715176,-4.096155398959842,0.0001011516370472634,0.0028668051957861417,False,0.21307300509337862,0.3888888888888889,2.5426018170882214,0.25358234353310866,subset-dep
PPP2R1A,-1.1083824372408606,-0.8488364933768456,-0.25954594386401497,-0.5441622775333287,-6.360157674868196,7.4126726110220714e-09,1.2073222045370131e-06,False,0.7792869269949066,0.9722222222222222,5.918176811941877,0.6031399114269285,pan-glioma-dep
RPTOR,-1.053273932286247,-0.9052674443109293,-0.14800648797531768,-0.5438969141507325,-4.503493559328499,2.229220322336543e-05,0.0009064048657550711,True,0.9422750424448217,0.9861111111111112,3.042677771762371,0.5728724415258973,pan-glioma-dep
TMED2,-0.7275154351839777,-0.5668319163341953,-0.16068351884978238,-0.5435616045764478,-3.99266538738032,0.00014629764123851396,0.003670964342337838,False,0.5950764006791172,0.7361111111111112,2.4352198339654016,0.39544945730273556,pan-glioma-dep
PPP1R12A,-1.5006336075607003,-1.227166394555995,-0.27346721300470533,-0.5416157505039944,-4.714897945551956,9.799138215461036e-06,0.0005030411469002863,True,0.9185059422750425,0.9722222222222222,3.298396489813104,0.8127667975905052,pan-glioma-dep
SNUPN,-1.1407632762558548,-0.9791972648865669,-0.16156601136928794,-0.5393538441417474,-4.579377020987867,1.660703918372475e-05,0.0007256871073551527,True,0.9558573853989814,0.9861111111111112,3.139250592578169,0.6152750583043294,pan-glioma-dep
MAK16,-1.9729603810205079,-1.793966048940631,-0.1789943320798768,-0.5352935061145768,-3.981018101456539,0.00015208666803850581,0.0037428361876069645,True,1.0,1.0,2.426799180199281,1.056112879781619,pan-glioma-dep
CHMP7,-0.7243887474762436,-0.5447358647003762,-0.17965288277586744,-0.5351362175267755,-5.165062817690615,1.5653628853954996e-06,0.00012036498478431661,False,0.5475382003395586,0.7638888888888888,3.91949983472812,0.38764665434339557,pan-glioma-dep
RAB1A,-0.4210589940276863,-0.3277370255072675,-0.0933219685204188,-0.5348031238607354,-3.408311635174175,0.0010470104074248472,0.014666331868196688,False,0.12818336162988114,0.25,1.8336784920599047,0.22518366533566536,subset-dep
CDK2,-0.8448083742538047,-0.6667397820913118,-0.17806859216249293,-0.5308904455899274,-3.82483272653172,0.0002621093382391058,0.005391447650851687,True,0.6884550084889643,0.8055555555555556,2.268294607287766,0.44850069424570455,pan-glioma-dep
