gene,glioma_mean,rest_mean,diff,cohens_d,t,p,fdr,is_common_essential,pan_ess_fraction,glioma_dep_fraction
LZTFL1,-0.004713718591055099,-0.01802130824248884,0.013307589651433742,0.09889938993312838,0.9068608458473797,0.3670959217937556,0.6044380603673307,False,0.001697792869269949,0.0
LZTR1,0.012978055347135089,-0.06694196082095287,0.07992001616808796,0.472798888344968,4.0484077358305095,0.00011681076867540039,0.003145982514419639,False,0.008488964346349746,0.0
LZTS1,0.21344757491803146,0.20332644814373996,0.0101211267742915,0.08407136365679839,0.7878167298391704,0.4330224029343893,0.6622072606302443,False,0.0,0.0
LZTS2,-0.034711458076741815,-0.014347010585638394,-0.020364447491103423,-0.17847331233300895,-1.6666940666630594,0.09930632750254358,0.28067079405830114,False,0.0008488964346349745,0.0
LZTS3,-0.03950660898475142,-0.022214251758060456,-0.017292357226690962,-0.16064141293748194,-1.234883082477554,0.22052797064893184,0.45107650669554317,False,0.0008488964346349745,0.0
M1AP,-0.14697668124615337,-0.14731725241891724,0.0003405711727638705,0.0032803553711583727,0.028688266101159408,0.9771829142987157,0.9891437212907538,False,0.004244482173174873,0.0
M6PR,0.057026263664361775,0.04909514542153273,0.007931118242829042,0.06821590485283044,0.6099629057033314,0.5435608225696101,0.7452694342356421,False,0.0,0.0
MAB21L1,0.08648782534250186,0.07030232320642324,0.016185502136078625,0.15932473641999037,1.4000506927275742,0.1652642740783444,0.3819990626225801,False,0.001697792869269949,0.0
MAB21L2,0.10889856877059415,0.1311452044723255,-0.022246635701731354,-0.1933641456276981,-1.6812831884315582,0.09651969164454506,0.2757089916300493,False,0.0008488964346349745,0.0
MAB21L3,-0.11886384452584256,-0.13104468771784902,0.012180843192006463,0.10869986695890307,0.9424936405133754,0.34871564118111875,0.5872898502914949,False,0.008488964346349746,0.0
MAB21L4,0.014617964534652413,0.025084822553172553,-0.01046685801852014,-0.08773756866537258,-0.7378732329617467,0.46272274670230157,0.6871280986102944,False,0.0008488964346349745,0.0
MACC1,0.0008613316197734663,0.027044778152309837,-0.026183446532536372,-0.2260513553854458,-2.0341656632291114,0.0451369891324769,0.17465967544221514,False,0.0,0.0
MACF1,-0.1383331730613761,-0.1322827136065733,-0.0060504594548028146,-0.049337817407427556,-0.45302208073444633,0.6517099325864586,0.8184519243108784,False,0.004244482173174873,0.013888888888888888
MACIR,-0.13500726288414056,-0.14803232606593283,0.013025063181792279,0.09734777170887304,0.8907320948371679,0.37563997776949914,0.6117600951083858,False,0.014431239388794566,0.013888888888888888
MACO1,-0.03013659226049331,-0.06934648042638465,0.03920988816589134,0.37389096075895156,3.460903719518784,0.0008504589973911459,0.012634181921442595,False,0.0025466893039049238,0.0
MACROD1,-0.0788365631656333,-0.07384448631943288,-0.004992076846200413,-0.04000437854843795,-0.44579109523463306,0.6568103211763578,0.8218041563094928,False,0.004244482173174873,0.0
MACROD2,0.214067948535258,0.2174424301322451,-0.0033744815969870834,-0.030612908957269317,-0.3790457079037507,0.7054848681664226,0.8533350705602827,False,0.0,0.0
MACROH2A1,-0.0784613470222271,-0.09078055463861347,0.012319207616386371,0.0914606832662911,0.8461638123401639,0.3998776690844015,0.6323778196942481,False,0.0025466893039049238,0.0
MACROH2A2,-0.16643749805667177,-0.18087729292968344,0.014439794873011669,0.12189265011839631,1.1901510069802135,0.2372890225654641,0.4715773852781869,False,0.012733446519524618,0.0
MAD1L1,-0.0607608558500734,-0.130621426401684,0.0698605705516106,0.4181254538580529,3.9546120213991434,0.00015907459990772142,0.0038568140432276078,False,0.022071307300509338,0.0
MAD2L1,-1.657870455506031,-1.7114765939570724,0.05360613845104134,0.16721446513912208,1.3591071505710457,0.17791904543528325,0.3983501147236359,True,0.9957555178268251,1.0
MAD2L1BP,-0.5433629897210257,-0.5266424427411172,-0.016720546979908546,-0.0709149816848261,-0.5944714705857882,0.5538544049871283,0.7527294697388885,True,0.49151103565365023,0.5694444444444444
MAD2L2,-0.8348182029185168,-0.8736474058891458,0.03882920297062897,0.09433476762781882,0.8602291305010383,0.39213627363011727,0.6252874208239511,True,0.8157894736842105,0.8194444444444444
MADCAM1,0.01599442178056035,-0.018029060380737743,0.034023482161298094,0.22809011088797787,2.047355951478649,0.04379724555860262,0.17098963857657978,False,0.003395585738539898,0.0
MADD,0.013457564944170747,0.006200914929851331,0.007256650014319415,0.0701069601636135,0.6268002002163372,0.532518899495615,0.7374098472224021,False,0.0,0.0
MAEA,-0.28003294031990655,-0.3020900657038696,0.02205712538396304,0.09238832261792328,0.8207100814958734,0.41417880941244634,0.6459285819492852,False,0.19015280135823429,0.16666666666666666
MAEL,0.06273189937664769,0.035773628302174065,0.026958271074473628,0.2842998653189722,2.404678381907439,0.01846261269807269,0.09879813891836031,False,0.0,0.0
MAF,-0.13414008073835845,-0.1347436032337416,0.0006035224953831464,0.0035788089157888794,0.04849878184922571,0.9614121241109627,0.9825818377394185,False,0.007640067911714771,0.0
MAF1,-0.17811471317735694,-0.22073412121704108,0.04261940803968414,0.28652157611416107,2.953622268571111,0.004035268991240365,0.03627490177976035,False,0.035653650254668934,0.013888888888888888
MAFA,0.043502065510171016,0.03076190315978777,0.012740162350383246,0.10846656267087967,0.9527506399310216,0.3435123081634367,0.5826243082534713,False,0.0008488964346349745,0.0
MAFB,0.05959342036191974,0.09079144693412416,-0.031198026572204426,-0.27154699198138055,-1.8532343213291924,0.06767164868363497,0.22221503992228814,False,0.0025466893039049238,0.013888888888888888
MAFF,-0.1732072488519164,-0.19255231085263622,0.01934506200071981,0.1284650616214188,1.1995114925300103,0.23370755837907783,0.4684474331372967,False,0.029711375212224108,0.013888888888888888
MAFG,-0.1492232889245537,-0.1649106698729589,0.015687380948405216,0.1025098401639098,0.9551101236435142,0.34226958647679523,0.5814623469863704,False,0.02461799660441426,0.013888888888888888
MAFK,-0.09583242130516172,-0.08205091952015489,-0.013781501785006825,-0.08757525228838084,-0.7796248372944666,0.4378431262674995,0.6665411705529064,False,0.011035653650254669,0.013888888888888888
MAG,-0.04575384999407824,-0.062324834814651855,0.016570984820573613,0.13860726641529936,1.374051802183834,0.1730034284443314,0.39185570765218786,False,0.0008488964346349745,0.0
MAGEA1,0.19842851845228482,0.18193037002472842,0.016498148427556397,0.16166696958224008,1.2902634955673702,0.20068159411963407,0.4269070814827077,False,0.0,0.0
MAGEA10,0.08173836623080424,0.08715998694116003,-0.00542162071035579,-0.04912409868431722,-0.4038215311537968,0.6874144597202342,0.8436578613746893,False,0.0,0.0
MAGEA11,0.08340710370540177,0.05525858054705223,0.028148523158349543,0.2394238929917374,2.3800067551122988,0.01952483578982846,0.10246249502359892,False,0.0,0.0
MAGEA12,0.03514518874515057,0.012965312969430058,0.02217987577572051,0.19730982831703375,1.6458786098879963,0.10367095209393064,0.2873274977842012,False,0.0,0.0
MAGEA4,0.09016747330401907,0.07351751203622399,0.016649961267795083,0.14731839437617048,1.4504957453012974,0.15057544624296398,0.3611657068421381,False,0.0,0.0
MAGEA6,-0.09458834801085561,-0.07140048819528201,-0.0231878598155736,-0.18517063521419214,-1.6360592978991875,0.10632802739855524,0.29168166266613316,False,0.0050933786078098476,0.0
MAGEA8,0.1062429667114458,0.08525898461863103,0.020983982092814768,0.20105547667149282,1.5533047121611034,0.12433583201207238,0.32186111347034946,False,0.0,0.0
MAGEB1,0.16862788237149134,0.1491121375416958,0.01951574482979554,0.19583618109193404,1.721063094277493,0.08900427152759346,0.26235612515438705,False,0.0,0.0
MAGEB10,0.0994204504259926,0.0844527822340947,0.01496766819189789,0.13988167163061058,1.4345765264984396,0.15498900670804364,0.3667656906856835,False,0.0,0.0
MAGEB16,0.07483535674519515,0.04467739328540866,0.03015796345978649,0.26442990494489094,2.328642426196676,0.022334770914575548,0.111930001595954,False,0.0,0.0
MAGEB17,0.12867917636903733,0.13154324864714848,-0.0028640722781111405,-0.03215316842127814,-0.32446075534942087,0.7463727886502868,0.8779472707936798,False,0.0,0.0
MAGEB18,0.03299648604933137,0.03827300586269314,-0.005276519813361767,-0.052031565289515615,-0.5150301192962543,0.6078567272746271,0.7906190558155897,False,0.0,0.0
MAGEB2,0.1010518046474797,0.09302487269449529,0.008026931952984415,0.08425130763545371,0.7065619182083628,0.48186693978623335,0.7014328474431966,False,0.0,0.0
MAGEB3,0.026891042604998208,0.02070834548277168,0.006182697122226528,0.05931176834960896,0.490913781553608,0.6248202175064715,0.8001927444891216,False,0.0,0.0
MAGEB4,0.06156942564220426,0.06276012438815919,-0.0011906987459549268,-0.011378541134658318,-0.10695935444072723,0.9150760908079453,0.958855026489364,False,0.0,0.0
MAGEB5,0.03149106070568956,0.027763820318304707,0.0037272403873848496,0.039025181284675095,0.39072746633709327,0.6969628628526092,0.8480037334265489,False,0.0,0.0
MAGEB6,0.13350957482077844,0.14522161029942468,-0.011712035478646243,-0.08588352413045364,-0.7086308307112299,0.4805980970490893,0.700772809207413,False,0.0008488964346349745,0.0
MAGEC1,0.05643852147203029,0.046047431433463896,0.010391090038566392,0.09932741953014838,0.8611521071551458,0.39166656087220164,0.6250837323501136,False,0.0008488964346349745,0.0
MAGEC2,0.05880039546296285,0.065725947936068,-0.006925552473105147,-0.05820189348208503,-0.38592992985909985,0.7006161738076155,0.8503680147398297,False,0.0,0.0
MAGEC3,0.11245261079708811,0.11189387924553919,0.0005587315515489244,0.007341470314583916,0.05469581884939798,0.956519654543187,0.980535286823551,False,0.0,0.0
MAGED1,0.05574939505633893,0.05708396494745588,-0.0013345698911169518,-0.012667529369273069,-0.11103923145520288,0.9118563470710038,0.9576656494591772,False,0.0,0.0
MAGED2,0.1949332760578282,0.22437389787901119,-0.029440621821182983,-0.31732571494663636,-2.5048438632372783,0.014290888978433494,0.08353525838095088,False,0.0,0.0
MAGEE1,0.12553279613047563,0.13144554164833389,-0.005912745517858253,-0.0488639589387943,-0.5185519015143354,0.605367644105945,0.7891040948189829,False,0.0,0.0
MAGEE2,0.11598826097715327,0.14250443412271624,-0.02651617314556297,-0.26276546386620914,-2.592046391002217,0.011215810539752237,0.07123093287139351,False,0.0,0.0
