,sc_malignant_mean,sc_tme_max_mean,sc_tme_max_type,sc_tme_mean,sc_pct_malignant_expressing,sc_malignant_specificity,sc_tme_dominated_flag,sc_neoplastic_mean,sc_nonneoplastic_mean,sc_malignant_vs_tme_collapsed,sc_measured
CCT3,0.5524374279428198,0.6988460969619154,radial glial cell,0.34966086688333026,0.6060648834309643,-0.14640866901909555,False,0.5524369866279191,0.3226805494207638,0.22975643720715527,True
RAC1,1.3301904165143037,1.4894490520519574,microglial cell,0.9317995583064483,0.8525968271892472,-0.15925863553765374,False,1.3301918582062358,1.1333176732644532,0.19687418494178255,True
EXT1,0.031945595606022094,0.09240163236103653,endothelial cell,0.02252707294657745,0.07167446930309518,-0.06045603675501444,False,0.0319456035333029,0.01012704259920219,0.021818560934100707,True
LSM6,0.21107592996903057,0.4720024541046936,radial glial cell,0.22123959735100404,0.34552740332964765,-0.26092652413566303,True,0.2110758775330595,0.19966045905688504,0.011415418476174471,True
E2F3,0.06994264421669066,0.09000321300056656,mural cell,0.0479227711072946,0.13830663184887196,-0.020060568783875896,False,0.06994269991600448,0.05577495292956071,0.014167746986443769,True
MZT2A,0.4037251679732275,0.4382042850342655,natural killer cell,0.25143875567081725,0.513366425922005,-0.03447911706103801,False,0.40372456297213083,0.2499220418841258,0.15380252108800502,True
NELFA,0.09208597628387358,0.07345374609909992,oligodendrocyte,0.04118096074194908,0.19021180825119,0.018632230184773654,False,0.09208600129266836,0.04202027024266271,0.050065731050005655,True
PPP1CB,0.7025663609021248,0.5331573096539326,monocyte,0.35887525933011233,0.6669881823385952,0.16940905124819217,False,0.7025652725014275,0.3584603116463529,0.34410496085507464,True
KDM8,0.005488454595849338,0.0078102853539940365,plasma cell,0.004642564585833978,0.014797562754369869,-0.0023218307581446985,False,0.005488454603327905,0.004792000163184009,0.0006964544401438962,True
TAF1D,0.31029793463456956,0.421536044387906,mature T cell,0.270541644182268,0.4303996988731268,-0.11123810975333642,False,0.3102977967858871,0.31029279258810705,5.004197780045239e-06,True
TIMM10,0.2503622541633572,0.28808962302601077,oligodendrocyte,0.18210725750612444,0.37959238086275987,-0.03772736886265354,False,0.2503620895142958,0.17704211359437116,0.07331997591992462,True
