,malignant cell,macrophage,mural cell,dendritic cell,microglial cell,monocyte,oligodendrocyte,endothelial cell,mature T cell,oligodendrocyte precursor cell,mast cell,B cell,plasma cell,natural killer cell,astrocyte,radial glial cell,neuron
ARFRP1,0.13426331452145265,0.06509513831502865,0.11042418567350788,0.0829589260072908,0.06233761339420107,0.08094028205549554,0.12891713457414714,0.1315353738606242,0.11282449525568455,0.10112728755320272,0.04712893344441943,0.07545831074714661,0.05204446311597224,0.13316817639725617,0.10582418662275193,0.014149566689631589,0.18052090298045764
ARHGAP11A,0.03567774717331628,0.015477496855321418,0.03363495037269651,0.011952244665128538,0.011758398943915317,0.009145069411637034,0.007280432760557889,0.009157778781023635,0.027634394064051004,0.006040576890471482,0.018056370138163223,0.006147746181488037,0.014359153624806371,0.02854761434588005,0.015039256074051292,0.013783210615777104,0.009226358749649742
CIR1,0.2585183330609807,0.19714930192697355,0.22600998928079485,0.2042160773331455,0.19796939122912557,0.19116984778963425,0.25817026474299926,0.177673093985661,0.23107285537099612,0.16031266676802788,0.17007189797332395,0.19760978326797485,0.17413437908346002,0.2734578389535232,0.182422599351475,0.37953689164609133,0.15376868844032288
MIS18BP1,0.07728090998756638,0.23320332143500716,0.14823015687832206,0.3430233826934614,0.2973096641260849,0.2444891366076394,0.04126573653378153,0.08940834692647517,0.1729032203407076,0.023062709358430678,0.09573697868045469,0.2166015941619873,0.1048922162581157,0.23146670982511036,0.04684940032187225,0.0637165804456297,0.10468810254877264
SCFD1,0.17445714092588557,0.11157802379988913,0.1804116632269199,0.14957602678360105,0.11169823843512391,0.1259613681334322,0.12227518718390308,0.12437633295470149,0.10560185376205317,0.2526624313285274,0.1122009361077889,0.10786886739730835,0.13993389320957078,0.13267778945572647,0.21223733328670435,0.10955596114546963,0.33099876750599255
NOC4L,0.07845979409911061,0.04249661933409749,0.04344265294301997,0.05462044329993564,0.04275905592330632,0.04365895930789031,0.07328067512793396,0.03574094109868224,0.048334954308165444,0.07534098943635341,0.03438375310987314,0.031970747566223146,0.03651932405529322,0.05501187647524106,0.044573224348828974,0.0011739961014636522,0.1269053654237227
AASDHPPT,0.22252827628308489,0.08540120474095005,0.1432013164874697,0.09519189654862871,0.07876181551066543,0.09354693113897956,0.22849887997740576,0.10279541634532442,0.10795946892142254,0.3733425904666224,0.09427232445085336,0.05253204336166382,0.0631128193198384,0.11101197458836581,0.21856943720337974,0.16424626662483155,0.5081129805608229
CCNK,0.08300064541083685,0.08117038959429917,0.08350178754884534,0.0815446274324488,0.06887988773015659,0.09096877554793865,0.10154651440772555,0.09184340187203123,0.12001979400039539,0.1499458783336224,0.05916846725320688,0.06825085027813911,0.027757536489646753,0.11899880208179815,0.06507902751768256,0.054252854526828605,0.1909550753506747
MT1E,0.5753816487283023,0.21724393040406856,0.2766893772547605,0.02732205947701662,0.1366458101050555,0.046047605782212654,0.22611218550468654,0.7898610704543864,0.13113405658051117,0.4297777707538297,0.10738042516299291,0.025046319222450257,0.09197553611927099,0.039234634238871864,0.549144075095998,0.0033510460902840206,0.07030076330358331
BRCA1,0.05975415124362659,0.01722947665580914,0.03827990610441469,0.010528552098817158,0.013800820082296453,0.012888301555178679,0.03128527485114165,0.015599266558132766,0.01810781085702324,0.011959811732653649,0.013551353129880359,0.007002746486663818,0.019443921041446967,0.03372509536352465,0.016613577745553387,0.06849962865749967,0.017394627613777466
