gene,gtex_max_tpm,gtex_median_tpm,gtex_max_tissue,gtex_vital_organ_max,gtex_brain_max,gtex_brain_mean,gtex_nonbrain_max
LMNA,392.66,96.3178,Cells_Cultured_fibroblasts,158.442,24.7087,14.076386153846155,392.66
LONP1,207.942,41.182900000000004,Adrenal_Gland,43.5734,61.5564,37.932676923076926,207.942
LSM6,29.2822,6.42727,Cells_EBV-transformed_lymphocytes,10.0925,9.18566,4.403441538461538,29.2822
LYRM4,7.98525,4.356315,Ovary,4.34544,6.16095,3.8836615384615385,7.98525
MAK16,23.9486,9.245565,Cells_Cultured_fibroblasts,9.7999,9.92756,6.10807,23.9486
MED11,35.7219,22.34735,Spleen,28.9017,23.5019,13.209861538461542,35.7219
MED17,16.3335,7.98569,Ovary,7.79347,11.776,4.435294615384615,16.3335
MED26,57.4701,5.392305,Testis,7.36178,6.6634899999999995,2.937704615384616,57.4701
MED28,41.7127,18.21875,Cells_EBV-transformed_lymphocytes,24.2463,23.4733,11.71737923076923,41.7127
MED31,30.9855,13.92635,Pituitary,15.2446,18.9079,12.457156153846153,30.9855
MET,21.256,4.8491,Nerve_Tibial,12.8225,3.41205,1.0433573076923077,21.256
MIS18BP1,35.9825,5.534095,Cells_EBV-transformed_lymphocytes,9.77657,2.1876900000000004,1.304679923076923,35.9825
MLST8,78.4106,25.0812,Brain_Cerebellum,23.7844,78.4106,36.75326923076922,54.6515
MMS19,80.7062,40.116749999999996,Brain_Cerebellum,54.8648,80.7062,31.74636923076923,80.4122
MSTO1,35.2223,6.9665,Testis,9.07858,10.3654,4.967728461538462,35.2223
MT1E,694.0980000000001,102.283,Cells_Cultured_fibroblasts,418.985,226.765,110.57254615384615,694.0980000000001
MTOR,35.5128,13.9857,Testis,15.2756,27.0759,11.705742307692306,35.5128
MZT2A,101.193,38.619550000000004,Cells_EBV-transformed_lymphocytes,58.153,68.5714,49.45434615384616,101.193
NARS1,187.99400000000003,80.60759999999999,Cells_Cultured_fibroblasts,84.8611,129.62,72.00904615384616,187.99400000000003
NBAS,28.8018,12.21865,Testis,13.8652,16.1666,9.497410769230767,28.8018
NCKAP1,46.0555,18.39785,Artery_Tibial,21.3214,30.7027,16.43998846153846,46.0555
NDC1,37.223,6.500209999999999,Cells_EBV-transformed_lymphocytes,6.5109699999999995,6.663189999999999,3.460902307692308,37.223
NELFA,37.1728,16.894350000000003,Testis,17.0115,32.1468,12.940868461538459,37.1728
NELFB,85.3512,61.3964,Cervix_Endocervix,70.5855,70.7486,50.889399999999995,85.3512
NELFCD,132.31,59.2397,Pituitary,59.3845,95.6679,44.76012307692307,132.31
NHLRC2,17.4406,10.472999999999999,Cervix_Ectocervix,14.7666,10.1991,4.306496923076924,17.4406
NHP2,177.197,74.72444999999999,Cells_Cultured_fibroblasts,74.3198,79.4524,64.30657692307692,177.197
NOB1,137.747,37.8725,Cells_EBV-transformed_lymphocytes,38.0196,26.3678,17.267084615384615,137.747
NOC3L,36.6723,8.331175,Cells_EBV-transformed_lymphocytes,9.33194,6.79978,3.542055384615385,36.6723
NOC4L,85.9884,21.1711,Testis,24.4822,27.9328,13.338903846153848,85.9884
