gene,f_dep_selectivity,f_dep_breadth,f_pan_ess_penalty,f_sl_strength,f_sl_breadth,f_sc_specificity,f_sc_tme_penalty,f_tumor_enrichment,f_tumor_prevalence,f_safety,f_tractability,f_novelty,cat_dependency,cat_selectivity,cat_synthetic_lethality,cat_tumor_specificity,cat_tumor_enrichment,cat_therapeutic_window,cat_tractability,baseline_composite
COPA,0.4628975265017668,1.0,0.0,0.0,0.0,0.17985611510791366,1.0,0.5406360424028268,0.869281045751634,0.149587750294464,0.25,1.0,0.7314487632508834,0.0,0.0,0.5899280575539568,0.7049585440772304,0.149587750294464,0.25,0.3465604450252192
CDC42,0.45936395759717313,0.9861111111111112,0.11035653650254673,0.0,0.0,0.08992805755395683,0.0,0.7667844522968198,0.9869281045751634,0.1472320376914016,0.8,0.0,0.7227375343541421,0.11035653650254673,0.0,0.044964028776978415,0.8768562784359917,0.1472320376914016,0.8,0.38602091653729437
NARS1,0.4558303886925795,1.0,0.0,0.0,0.0,0.9028776978417267,1.0,0.26501766784452296,0.6601307189542484,0.2826855123674912,0.25,1.0,0.7279151943462898,0.0,0.0,0.9514388489208634,0.46257419339938566,0.2826855123674912,0.25,0.3820876784334329
PSTK,0.45229681978798586,0.625,0.5534804753820034,0.2896386242806837,0.25,0.5467625899280576,1.0,0.04240282685512368,0.2156862745098039,0.7656065959952886,0.0,1.0,0.538648409893993,0.5534804753820034,0.2698193121403418,0.7733812949640289,0.1290445506824638,0.7656065959952886,0.0,0.43285437700830276
NOP2,0.44876325088339225,1.0,0.004244482173174746,0.0,0.0,0.5971223021582733,1.0,0.31802120141342755,0.6993464052287581,0.6454652532391049,0.25,0.0,0.7243816254416962,0.004244482173174746,0.0,0.7985611510791366,0.5086838033210929,0.6454652532391049,0.25,0.41876233075060076
FOXO3,0.4452296819787986,0.2361111111111111,0.8446519524617997,0.0,0.0,0.8453237410071942,1.0,0.1625441696113074,0.3725490196078431,0.2237926972909305,0.25,0.0,0.34067039654495485,0.8446519524617997,0.0,0.9226618705035972,0.26754659460957525,0.2237926972909305,0.25,0.40704621591583673
NOL12,0.4416961130742049,0.9583333333333334,0.10271646859083194,0.0,0.0,0.3237410071942446,1.0,0.24734982332155478,0.673202614379085,0.6725559481743227,0.0,1.0,0.7000147232037691,0.10271646859083194,0.0,0.6618705035971223,0.4602762188503199,0.6725559481743227,0.0,0.37106198034519516
MLST8,0.4381625441696113,0.5972222222222222,0.5662139219015281,0.3422196144987567,0.25,0.9496402877697842,1.0,0.21554770318021202,0.5359477124183006,0.4369846878680801,0.6,0.0,0.5176923831959168,0.5662139219015281,0.29610980724937835,0.974820143884892,0.3757477077992563,0.4369846878680801,0.6,0.538224093128436
RRP1,0.43462897526501765,0.9444444444444444,0.07385398981324276,0.0,0.0,0.5107913669064749,1.0,0.3992932862190813,0.803921568627451,0.6702002355712603,0.25,1.0,0.689536709854731,0.07385398981324276,0.0,0.7553956834532374,0.6016074274232661,0.6702002355712603,0.25,0.43437057801653395
NUP35,0.43109540636042404,0.5972222222222222,0.5984719864176571,0.0,0.0,0.381294964028777,1.0,0.8515901060070671,0.9869281045751634,0.8386336866902239,0.0,1.0,0.5141588142913232,0.5984719864176571,0.0,0.6906474820143885,0.9192591052911152,0.8386336866902239,0.0,0.5087387249578155
H3C8,0.4275618374558304,0.7222222222222222,0.5144312393887946,0.0,0.0,0.6798561151079137,1.0,0.9752650176678446,0.9869281045751634,0.7891637220259128,0.0,1.0,0.5748920298390263,0.5144312393887946,0.0,0.8399280575539568,0.981096561121504,0.7891637220259128,0.0,0.5285016585613135
