gene,rank_full,expert_composite,novelty_tier,novelty_corrected,is_dependency_poscontrol,f_dep_selectivity,f_dep_breadth,f_pan_ess_penalty,f_sl_strength,f_sl_breadth,f_sc_specificity,f_sc_tme_penalty,f_tumor_enrichment,f_tumor_prevalence,f_safety,f_tractability,f_novelty,cat_dependency,cat_selectivity,cat_synthetic_lethality,cat_tumor_specificity,cat_tumor_enrichment,cat_therapeutic_window,cat_tractability
NDC1,42,0.5192384225534415,novel,1.0,False,0.7667844522968198,0.7083333333333334,0.5033955857385399,0.0,0.0,0.5863309352517986,1.0,0.9363957597173144,0.9934640522875816,0.8068315665488811,0.0,1.0,0.7375588928150766,0.5033955857385399,0.0,0.7931654676258992,0.964929906002448,0.8068315665488811,0.0
VCL,43,0.5190210337544942,novel,1.0,False,0.9575971731448764,0.5555555555555556,0.7258064516129032,0.243994022142051,0.75,0.0935251798561151,0.0,0.7385159010600707,0.8758169934640523,0.3792697290930507,0.25,1.0,0.7565763643502159,0.7258064516129032,0.4969970110710255,0.0467625899280575,0.8071664472620614,0.3792697290930507,0.25
TAF1A,44,0.5132624916707546,novel,1.0,False,0.7950530035335689,0.9583333333333334,0.0865874363327674,0.0,0.0,0.5539568345323741,1.0,0.8021201413427562,0.8954248366013072,0.9199057714958776,0.2,1.0,0.8766931684334511,0.0865874363327674,0.0,0.7769784172661871,0.8487724889720317,0.9199057714958776,0.2
TSEN34,45,0.5128920414162568,novel,1.0,False,0.5936395759717314,0.6805555555555556,0.5780984719864177,0.0,0.0,0.9388489208633094,1.0,0.8692579505300353,0.9934640522875816,0.7008244994110718,0.0,1.0,0.6370975657636435,0.5780984719864177,0.0,0.9694244604316546,0.9313610014088084,0.7008244994110718,0.0
POLR1G,46,0.5120490207812082,novel,1.0,False,0.568904593639576,0.5138888888888888,0.6366723259762309,0.0,0.0,0.8561151079136691,1.0,0.342756183745583,0.6078431372549019,0.767962308598351,0.25,0.0,0.5413967412642324,0.6366723259762309,0.0,0.9280575539568344,0.4752996605002424,0.767962308598351,0.25
TOP1,47,0.5103406877300735,approved_sm_drug,0.0,False,0.3745583038869258,1.0,0.0212224108658743,0.0,0.0,0.8741007194244604,1.0,0.6925795053003534,0.8758169934640523,0.1967020023557125,1.0,0.0,0.6872791519434629,0.0212224108658743,0.0,0.9370503597122302,0.7841982493822028,0.1967020023557125,1.0
MED26,48,0.5101713274974528,novel,1.0,False,0.5159010600706714,0.8333333333333334,0.2529711375212223,0.2162841332572171,0.25,0.6762589928057554,1.0,0.5759717314487632,0.9084967320261438,0.7550058892815077,0.25,1.0,0.6746171967020024,0.2529711375212223,0.2331420666286086,0.8381294964028777,0.7422342317374535,0.7550058892815077,0.25
TRAPPC13,49,0.5085222413607534,novel,1.0,False,0.9328621908127208,0.4583333333333333,0.7988115449915111,0.0,0.0,0.7230215827338129,1.0,0.3250883392226148,0.7124183006535948,0.5559481743227326,0.0,1.0,0.695597762073027,0.7988115449915111,0.0,0.8615107913669064,0.5187533199381048,0.5559481743227326,0.0
ARHGAP11A,50,0.5073662291998514,novel,1.0,False,0.4134275618374558,0.2361111111111111,0.8556876061120544,0.0,0.0,0.7338129496402878,1.0,0.96113074204947,0.9803921568627452,0.934040047114252,0.0,1.0,0.3247693364742834,0.8556876061120544,0.0,0.8669064748201438,0.9707614494561077,0.934040047114252,0.0
HSCB,51,0.5072762661288884,novel,1.0,False,0.7879858657243817,0.8194444444444444,0.3285229202037352,0.2062881717711062,0.25,0.6726618705035972,1.0,0.4770318021201413,0.9215686274509804,0.724381625441696,0.0,1.0,0.803715155084413,0.3285229202037352,0.2281440858855531,0.8363309352517986,0.6993002147855609,0.724381625441696,0.0
